Current learning rate: 0.001
Test: [130/164]	Loss 1.6568 (1.4680)	Accuracy 43.750 (45.611)
Test: [140/164]	Loss 1.5431 (1.4798)	Accuracy 46.875 (45.756)
Test: [150/164]	Loss 1.3395 (1.4694)	Accuracy 42.969 (45.995)
Test: [160/164]	Loss 1.7499 (1.4774)	Accuracy 33.594 (45.696)
 * Accuracy 45.613
Current best accuracy: 45.612613677978516
462.5010471343994
Current learning rate: 0.001
Epoch: [3][  0/383]	Loss 1.3181 (1.3181)	Accuracy 54.688 (54.688)
Epoch: [3][ 10/383]	Loss 1.2721 (1.3377)	Accuracy 53.906 (51.491)
Epoch: [3][ 20/383]	Loss 1.3912 (1.3382)	Accuracy 46.094 (50.558)
Epoch: [3][ 30/383]	Loss 1.3110 (1.3385)	Accuracy 47.656 (49.874)
Epoch: [3][ 40/383]	Loss 1.3674 (1.3462)	Accuracy 47.656 (49.733)
Epoch: [3][ 50/383]	Loss 1.4811 (1.3532)	Accuracy 46.094 (49.816)
Epoch: [3][ 60/383]	Loss 1.3196 (1.3465)	Accuracy 50.781 (50.179)
Epoch: [3][ 70/383]	Loss 1.2575 (1.3457)	Accuracy 51.562 (50.055)
Epoch: [3][ 80/383]	Loss 1.1499 (1.3438)	Accuracy 58.594 (50.077)
Epoch: [3][ 90/383]	Loss 1.2457 (1.3418)	Accuracy 51.562 (50.009)
Epoch: [3][100/383]	Loss 1.1808 (1.3360)	Accuracy 57.031 (50.294)
Epoch: [3][110/383]	Loss 1.3729 (1.3323)	Accuracy 53.125 (50.359)
Epoch: [3][120/383]	Loss 1.2917 (1.3316)	Accuracy 52.344 (50.517)
Epoch: [3][130/383]	Loss 1.3515 (1.3340)	Accuracy 51.562 (50.567)
Epoch: [3][140/383]	Loss 1.1585 (1.3338)	Accuracy 59.375 (50.477)
Epoch: [3][150/383]	Loss 1.3038 (1.3323)	Accuracy 50.781 (50.631)
Epoch: [3][160/383]	Loss 1.4218 (1.3344)	Accuracy 48.438 (50.655)
Epoch: [3][170/383]	Loss 1.4277 (1.3360)	Accuracy 45.312 (50.653)
Epoch: [3][180/383]	Loss 1.2898 (1.3341)	Accuracy 48.438 (50.682)
Epoch: [3][190/383]	Loss 1.3317 (1.3347)	Accuracy 48.438 (50.659)
